author,year,ref,subgroup,n,mean_diff,lci,uci,notes,se_md,pooled_sd,d,J,g,se_g
Sweileh,1992,31,,8,-2.33,-7.02,2.36,"M=7,F=1; hydrodensitometry",2.392857143,6.768022048,-0.344266018,0.888888889,0.306014238,0.314269681
Kassab,2003,12,N-Ob,44,0.4,-1.53,2.33,BIA; age 18-45; BMI 22.5±2.0,0.984693878,6.53172025,0.06123961,0.98245614,-0.060165231,0.148110836
Kassab,2003,12,Ob,18,-1.4,-3.46,0.66,BIA; BMI 33.1±0.4,1.051020408,4.459101947,-0.313964564,0.955223881,0.29990645,0.225148428
Kassab,2004,39,,46,-0.3,-1.98,1.38,BIA: OMRON BF 302; BMI 25.3±4.8,0.857142857,5.8134257,-0.051604685,0.983240223,0.050739802,0.144970862
Saleh,2004,18,,103,-4.88,-6.2,-3.56,"Equation from Filer et al; M=15,F=88",0.673469388,6.834967789,-0.713975567,0.992628993,0.708712847,0.097806641
Al-Hourani,2007,46,,47,-0.4,-1.5,0.7,BIA: Tanita BC-532; all female,0.56122449,3.847561255,-0.103961958,0.983606557,0.102257663,0.143473762
Stannard,2008,51,,8,-0.7,-2.18,0.78,Hydrodensitometry; all male,0.755102041,2.135751094,-0.327753549,0.888888889,0.291336488,0.314269681
Trabelsi,2011,24,,10,-1.2,-1.73,-0.67,Skinfold: Harpenden; all male,0.270408163,0.855105694,-1.403335294,0.914285714,1.283049411,0.289122529
Faris,2012,54,a,50,-3.74,-5.86,-1.62,"BIA: TANITA; M=21,F=29",1.081632653,7.648297837,-0.488997693,0.984615385,0.481474652,0.139245643
Faris,2012,55,b,50,-3.15,-5.21,-1.09,"BIA: GIMA; M=23,F=27",1.051020408,7.431836578,-0.423852162,0.984615385,0.417331359,0.139245643
Khattak,2012,14,"M,Nw",10,0.39,-1.41,2.19,BIA: MALTRON; BMI 21.8±1.6,0.918367347,2.904132545,0.134291391,0.914285714,-0.122780701,0.289122529
Khattak,2012,14,"M,Ob",10,-0.78,-3.05,1.49,BIA: MALTRON; BMI 32.5±5.1,1.158163265,3.662433821,-0.212973132,0.914285714,0.194718292,0.289122529
Khattak,2012,14,"F,Nw",10,0.43,-5.71,6.57,BIA: MALTRON; BMI 23.9±6.6,3.132653061,9.906318793,0.043406639,0.914285714,-0.03968607,0.289122529
Khattak,2012,14,"F,Ob",10,-0.57,-1.21,0.07,BIA: MALTRON; BMI 34.5±2.4,0.326530612,1.03258046,-0.552015094,0.914285714,0.504699515,0.289122529
Agoumi,2013,59,,55,0.27,-1.67,2.21,"BIA: Medisana; M=22,F=33",0.989795918,7.340522992,0.03678212,0.986046512,-0.036268881,0.132958485
Rohin,2013,15,Nw,15.33333333,-1.21,-2.89,0.47,BIA: Omron Karada; 46 total across 3 BMI groups — per-subgroup n not in supplement,0.857142857,3.356382893,-0.360507141,0.946745562,0.341308536,0.241777003
Rohin,2013,15,Ow,15.33333333,-0.42,-1.75,0.91,BIA: Omron Karada; 46 total across 3 BMI groups — per-subgroup n not in supplement,0.678571429,2.657136457,-0.158064897,0.946745562,0.14964724,0.241777003
Rohin,2013,15,Ob,15.33333333,-1.07,-2.94,0.8,BIA: Omron Karada; 46 total across 3 BMI groups — per-subgroup n not in supplement,0.954081633,3.735973815,-0.286404577,0.946745562,0.271152262,0.241777003
Lopez-Bueno,2015,69,,62,-0.7,-2.19,0.79,BIA: TANITA SC-330,0.760204082,5.985852925,-0.116942399,0.987654321,0.115498666,0.125432224
Sezen,2016,72,,70,-0.8,-1.52,-0.08,BIA: segmental analyser,0.367346939,3.073444995,-0.26029423,0.989090909,0.257454657,0.118218975
Nugraha,2017,79,,25,-0.46,-2.14,1.22,BIA: InBody 230; all male,0.857142857,4.285714286,-0.107333333,0.968421053,0.10394386,0.193684211
Ongsara,2017,80,M,21,-0.56,-2.46,1.34,BIA: TANITA SC-330,0.969387755,4.442292766,-0.12606103,0.962025316,0.121273902,0.209931135
Ongsara,2017,80,F,44,-1.43,-2.6,-0.26,BIA: TANITA SC-330,0.596938776,3.959643882,-0.361143588,0.98245614,0.354807736,0.148110836
