"estimand","weighting","subset","numerator","denominator","proportion","note"
"Outcomes with at least moderate selected rigor","outcome_weighted","non-missing log10BF_rigor",28,175,0.16,"log10BF_rigor > 0.5 (selected statistic; Inf retained)"
"Outcomes with strong selected rigor","outcome_weighted","non-missing log10BF_rigor",1,175,0.00571428571428571,"log10BF_rigor > 1.0"
"Selected rigor favors effect","outcome_weighted","valid rigor_direction",125,175,0.714285714285714,"rigor_direction == effect (ties resolve to effect)"
"Selected rigor favors no effect","outcome_weighted","valid rigor_direction",50,175,0.285714285714286,"rigor_direction == no_effect"
"At least moderate rigor favoring no effect","outcome_weighted","valid rigor_direction & non-missing log10BF_rigor",17,175,0.0971428571428571,"no_effect direction AND log10BF_rigor > 0.5"
"Baseline claimed-effect outcomes","outcome_weighted","finite mu_RE, mu_BC & non-missing log10BF_effect",108,175,0.617142857142857,"|mu_RE| >= 0.2"
"Claimed-effect outcomes with >=50% shrinkage","outcome_weighted","claimed-effect outcomes",82,108,0.759259259259259,"|mu_BC| <= 0.5 |mu_RE|"
"Claimed-effect outcomes still effect-inconclusive","outcome_weighted","claimed-effect outcomes",86,108,0.796296296296296,"|log10BF_effect| <= 0.5"
"Claimed-effect outcomes whose selected rigor favors no effect","outcome_weighted","claimed-effect outcomes with valid rigor_direction",1,108,0.00925925925925926,"rigor_direction == no_effect within claimed-effect set"
"Outcomes with at least moderate bias evidence","outcome_weighted","non-missing log10BF_bias",68,175,0.388571428571429,"log10BF_bias > 0.5 (bias/small-study/selection mechanisms)"
"Outcomes with at least moderate heterogeneity evidence","outcome_weighted","non-missing log10BF_het",86,175,0.491428571428571,"log10BF_het > 0.5"
"Source-balanced selected rigor favors effect","article_balanced","mean over source articles",NA,93,0.674014336917563,"each source article weighted 1/m within its stratum"
"Source-balanced selected rigor favors no effect","article_balanced","mean over source articles",NA,93,0.325985663082437,"each source article weighted 1/m within its stratum"
"Source-balanced at least moderate selected rigor","article_balanced","mean over source articles",NA,93,0.172222222222222,"mean of within-source P(log10BF_rigor > 0.5)"
